name,start,end,color
Julio-Claudians,Augustus,Nero,#c00465
Flavians,Vespasian,Domitian,#409705
Antonines,Nerva,Commodus,#bc0b0b
Severans,Septimius Severus,Severus Alexander,#cb8100
Tetrarchy,Diocletian,Galerius,#65066a
Constantinians,Constantine,Jovian,#01ac62
Valentinians,Valentinian,Valentinian II,#cb0966
Theodosians,Theodosius,Marcian,#197ba6
