name,birth,death,ascension,abdication,c_ascension,c_abdication,
Augustus,23/9/-63,19/8/14,16/1/-27,d,n,n
Tiberius,16/11/-42,16/3/37,18/9/14,d,n,n
Caligula,12/08/12,24/1/41,18/3/37,d,n,n
Claudius,10/08/-10,13/8/54,25/1/41,d,n,n
Nero,15/12/37,9/6/68,13/10/54,d,n,n
