name,start,end,color
Stuart,Anne,Anne,#c00465
Hanover,George,Victoria,#47c00a
Saxe-Coburg and Gotha,Edward VII,Edward VII,#bc0b0b
Windsor,George V,Elizabeth II,#cb8100
